"ds","trend","additive_terms","additive_terms_lower","additive_terms_upper","weekly","weekly_lower","weekly_upper","multiplicative_terms","multiplicative_terms_lower","multiplicative_terms_upper","yhat_lower","yhat_upper","trend_lower","trend_upper","yhat"
2023-01-02,6789.19723629595,63.5929803804851,63.5929803804851,63.5929803804851,63.5929803804851,63.5929803804851,63.5929803804851,0,0,0,6705.18994327225,7011.37477546805,6789.19723629595,6789.19723629595,6852.79021667643
2023-01-03,6796.69251500724,59.1254437442972,59.1254437442972,59.1254437442972,59.1254437442972,59.1254437442972,59.1254437442972,0,0,0,6708.44455780559,7008.12640930024,6796.69251500724,6796.69251500724,6855.81795875154
2023-01-04,6804.18779371854,48.4388130526365,48.4388130526365,48.4388130526365,48.4388130526365,48.4388130526365,48.4388130526365,0,0,0,6697.67024284099,6996.01798341646,6804.18779371854,6804.18779371854,6852.62660677118
2023-01-05,6811.68307242984,54.6041802056762,54.6041802056762,54.6041802056762,54.6041802056762,54.6041802056762,54.6041802056762,0,0,0,6709.50538359968,7014.49533052622,6811.68307242984,6811.68307242984,6866.28725263552
2023-01-06,6819.17835114114,62.1031021947213,62.1031021947213,62.1031021947213,62.1031021947213,62.1031021947213,62.1031021947213,0,0,0,6731.39136116042,7024.6529393223,6819.17835114114,6819.17835114114,6881.28145333586
2023-01-09,6841.66418727504,63.5929803806282,63.5929803806282,63.5929803806282,63.5929803806282,63.5929803806282,63.5929803806282,0,0,0,6755.1240114899,7052.8544611476,6841.66418727504,6841.66418727504,6905.25716765567
2023-01-10,6849.15946598633,59.1254437441497,59.1254437441497,59.1254437441497,59.1254437441497,59.1254437441497,59.1254437441497,0,0,0,6757.11391004606,7057.97921643863,6849.15946598633,6849.15946598633,6908.28490973048
2023-01-11,6856.65474469763,48.4388130526459,48.4388130526459,48.4388130526459,48.4388130526459,48.4388130526459,48.4388130526459,0,0,0,6760.41922177019,7050.60584132416,6856.65474469763,6856.65474469763,6905.09355775028
2023-01-12,6864.15002340893,54.6041802058195,54.6041802058195,54.6041802058195,54.6041802058195,54.6041802058195,54.6041802058195,0,0,0,6768.95828403912,7065.04758862369,6864.15002340893,6864.15002340893,6918.75420361475
2023-01-13,6871.64530212023,62.1031021947243,62.1031021947243,62.1031021947243,62.1031021947243,62.1031021947243,62.1031021947243,0,0,0,6778.21763667366,7087.76863937821,6871.64530212023,6871.64530212023,6933.74840431496
2023-01-16,6894.13113825413,63.5929803800199,63.5929803800199,63.5929803800199,63.5929803800199,63.5929803800199,63.5929803800199,0,0,0,6800.63329585272,7104.40716608886,6894.13113825413,6894.13113825413,6957.72411863415
2023-01-17,6901.62641696543,59.1254437441647,59.1254437441647,59.1254437441647,59.1254437441647,59.1254437441647,59.1254437441647,0,0,0,6810.31336021709,7108.76949927358,6901.62641696543,6901.62641696543,6960.75186070959
2023-01-18,6909.12169567672,48.4388130526439,48.4388130526439,48.4388130526439,48.4388130526439,48.4388130526439,48.4388130526439,0,0,0,6805.88407032337,7115.37330087289,6909.12169567672,6909.12169567672,6957.56050872937
2023-01-19,6916.61697438802,54.6041802058062,54.6041802058062,54.6041802058062,54.6041802058062,54.6041802058062,54.6041802058062,0,0,0,6819.46945613655,7121.0718468183,6916.61697438802,6916.61697438802,6971.22115459383
2023-01-20,6924.11225309932,62.1031021945846,62.1031021945846,62.1031021945846,62.1031021945846,62.1031021945846,62.1031021945846,0,0,0,6844.81034749618,7130.12785982263,6924.11225309932,6924.11225309932,6986.21535529391
2023-01-23,6946.59808923322,63.5929803803077,63.5929803803077,63.5929803803077,63.5929803803077,63.5929803803077,63.5929803803077,0,0,0,6856.16087744145,7157.27983078885,6946.59808923322,6946.59808923322,7010.19106961353
2023-01-24,6954.09336794452,59.1254437441797,59.1254437441797,59.1254437441797,59.1254437441797,59.1254437441797,59.1254437441797,0,0,0,6871.52679645221,7161.69146835214,6954.09336794452,6954.09336794452,7013.2188116887
2023-01-25,6961.58864665582,48.4388130526419,48.4388130526419,48.4388130526419,48.4388130526419,48.4388130526419,48.4388130526419,0,0,0,6864.56802420392,7165.72045485231,6961.58864665582,6961.58864665582,7010.02745970846
2023-01-26,6969.08360683708,54.6041802058712,54.6041802058712,54.6041802058712,54.6041802058712,54.6041802058712,54.6041802058712,0,0,0,6870.93392704427,7174.10740197752,6969.08360683708,6969.08360683708,7023.68778704295
2023-01-27,6976.57856701833,62.1031021950353,62.1031021950353,62.1031021950353,62.1031021950353,62.1031021950353,62.1031021950353,0,0,0,6886.65696805697,7179.95956780746,6976.57856701833,6976.57856701833,7038.68166921337
2023-01-30,6999.06344756211,63.5929803803061,63.5929803803061,63.5929803803061,63.5929803803061,63.5929803803061,63.5929803803061,0,0,0,6904.87703988853,7209.24171301968,6999.06344756211,6999.06344756211,7062.65642794242
2023-01-31,7006.55840774337,59.1254437440323,59.1254437440323,59.1254437440323,59.1254437440323,59.1254437440323,59.1254437440323,0,0,0,6918.45519478276,7213.35103946428,7006.55840774337,7006.55840774337,7065.6838514874
2023-02-01,7014.05336792463,48.438813052653,48.438813052653,48.438813052653,48.438813052653,48.438813052653,48.438813052653,0,0,0,6902.83435906479,7222.83974994385,7014.05336792463,7014.05336792463,7062.49218097728
2023-02-02,7021.54832810589,54.6041802059362,54.6041802059362,54.6041802059362,54.6041802059362,54.6041802059362,54.6041802059362,0,0,0,6925.52815839891,7222.73400279489,7021.54832810589,7021.54832810589,7076.15250831182
2023-02-03,7029.04328828715,62.1031021948957,62.1031021948957,62.1031021948957,62.1031021948957,62.1031021948957,62.1031021948957,0,0,0,6948.94108011065,7240.96997872801,7029.04328828715,7029.04328828715,7091.14639048204
2023-02-06,7051.52816883093,63.5929803804492,63.5929803804492,63.5929803804492,63.5929803804492,63.5929803804492,63.5929803804492,0,0,0,6964.91150101652,7267.39465697996,7051.52816883093,7051.52816883093,7115.12114921138
2023-02-07,7059.02312901218,59.1254437443102,59.1254437443102,59.1254437443102,59.1254437443102,59.1254437443102,59.1254437443102,0,0,0,6971.33524996026,7270.0044913907,7059.02312901218,7059.02312901218,7118.1485727565
2023-02-08,7066.51808919344,48.4388130526493,48.4388130526493,48.4388130526493,48.4388130526493,48.4388130526493,48.4388130526493,0,0,0,6968.68182683864,7266.28391428564,7066.51808919344,7066.51808919344,7114.95690224609
2023-02-09,7074.0130493747,54.6041802060012,54.6041802060012,54.6041802060012,54.6041802060012,54.6041802060012,54.6041802060012,0,0,0,6972.23024468807,7279.11268053733,7074.0130493747,7074.0130493747,7128.6172295807
2023-02-10,7081.50800955596,62.1031021948986,62.1031021948986,62.1031021948986,62.1031021948986,62.1031021948986,62.1031021948986,0,0,0,6988.59447976898,7290.5497442926,7081.50800955596,7081.50800955596,7143.61111175086
2023-02-13,7103.99289009974,63.5929803805923,63.5929803805923,63.5929803805923,63.5929803805923,63.5929803805923,63.5929803805923,0,0,0,7017.25020206232,7314.55147074013,7103.99289009974,7103.99289009974,7167.58587048033
2023-02-14,7111.487850281,59.1254437442439,59.1254437442439,59.1254437442439,59.1254437442439,59.1254437442439,59.1254437442439,0,0,0,7012.16883466305,7317.76085591657,7111.487850281,7111.487850281,7170.61329402524
2023-02-15,7118.98281046226,48.438813052649,48.438813052649,48.438813052649,48.438813052649,48.438813052649,48.438813052649,0,0,0,7019.11208815672,7316.90762959858,7118.98281046226,7118.98281046226,7167.42162351491
2023-02-16,7126.47777064352,54.604180205988,54.604180205988,54.604180205988,54.604180205988,54.604180205988,54.604180205988,0,0,0,7032.86634926759,7339.51643436236,7126.47777064352,7126.47777064352,7181.0819508495
2023-02-17,7129.40322084492,62.1031021946163,62.1031021946163,62.1031021946163,62.1031021946163,62.1031021946163,62.1031021946163,0,0,0,7039.87894329024,7343.02424317885,7129.40322084492,7129.40322084492,7191.50632303953
2023-02-20,7138.17957144912,63.5929803807355,63.5929803807355,63.5929803807355,63.5929803807355,63.5929803807355,63.5929803807355,0,0,0,7051.76904082442,7344.68428575227,7138.17957144912,7138.17957144912,7201.77255182986
2023-02-21,7141.10502165052,59.1254437442589,59.1254437442589,59.1254437442589,59.1254437442589,59.1254437442589,59.1254437442589,0,0,0,7058.97641608387,7363.93947109875,7141.10502165052,7141.10502165052,7200.23046539478
2023-02-22,7144.03047185193,48.4388130526453,48.4388130526453,48.4388130526453,48.4388130526453,48.4388130526453,48.4388130526453,0,0,0,7043.49980973199,7336.73221986903,7144.03047185193,7144.03047185193,7192.46928490457
2023-02-23,7146.95592205333,54.6041802057931,54.6041802057931,54.6041802057931,54.6041802057931,54.6041802057931,54.6041802057931,0,0,0,7043.81890358557,7344.04470699788,7146.95592205333,7146.95592205333,7201.56010225912
2023-02-24,7149.88137225473,62.1031021952097,62.1031021952097,62.1031021952097,62.1031021952097,62.1031021952097,62.1031021952097,0,0,0,7056.06508266605,7367.05744757476,7149.88137225473,7149.88137225473,7211.98447444994
2023-02-27,7158.65772285893,63.5929803807339,63.5929803807339,63.5929803807339,63.5929803807339,63.5929803807339,63.5929803807339,0,0,0,7077.29002236346,7373.29340871932,7158.65772285893,7158.65772285893,7222.25070323967
2023-02-28,7161.58317306034,59.1254437443744,59.1254437443744,59.1254437443744,59.1254437443744,59.1254437443744,59.1254437443744,0,0,0,7074.9082700836,7372.15547879167,7161.58317306034,7161.58317306034,7220.70861680471
2023-03-01,7164.50862326174,48.4388130526417,48.4388130526417,48.4388130526417,48.4388130526417,48.4388130526417,48.4388130526417,0,0,0,7070.83633228964,7362.26368094552,7164.50862326174,7164.50862326174,7212.94743631438
2023-03-02,7167.43407346314,54.6041802058581,54.6041802058581,54.6041802058581,54.6041802058581,54.6041802058581,54.6041802058581,0,0,0,7075.37311648497,7374.09823881661,7167.43407346314,7167.43407346314,7222.038253669
2023-03-03,7170.35952366454,62.10310219507,62.10310219507,62.10310219507,62.10310219507,62.10310219507,62.10310219507,0,0,0,7074.13001502353,7373.3372891733,7170.35952366454,7170.35952366454,7232.46262585961
2023-03-06,7179.13587426875,63.5929803804149,63.5929803804149,63.5929803804149,63.5929803804149,63.5929803804149,63.5929803804149,0,0,0,7082.04823599709,7389.65821468479,7179.13587426875,7179.13587426875,7242.72885464916
2023-03-07,7182.06132447015,59.1254437443894,59.1254437443894,59.1254437443894,59.1254437443894,59.1254437443894,59.1254437443894,0,0,0,7091.00866495509,7394.58956747278,7182.06132447015,7182.06132447015,7241.18676821454
2023-03-08,7184.98677467155,48.4388130526414,48.4388130526414,48.4388130526414,48.4388130526414,48.4388130526414,48.4388130526414,0,0,0,7082.12019141676,7376.83475550792,7184.98677467155,7184.98677467155,7233.42558772419
2023-03-09,7187.91222487295,54.6041802059231,54.6041802059231,54.6041802059231,54.6041802059231,54.6041802059231,54.6041802059231,0,0,0,7098.79816511872,7396.28267838274,7187.91222487295,7187.91222487295,7242.51640507888
2023-03-10,7190.83767507435,62.103102195073,62.103102195073,62.103102195073,62.103102195073,62.103102195073,62.103102195073,0,0,0,7097.7128519583,7393.62015037977,7190.83767507435,7190.83767507435,7252.94077726943
2023-03-13,7199.61402567856,63.5929803804133,63.5929803804133,63.5929803804133,63.5929803804133,63.5929803804133,63.5929803804133,0,0,0,7116.32783653127,7415.6196611486,7199.61402567856,7199.61402567856,7263.20700605897
2023-03-14,7202.5394766112,59.1254437443232,59.1254437443232,59.1254437443232,59.1254437443232,59.1254437443232,59.1254437443232,0,0,0,7111.943697995,7414.04726305019,7202.5394766112,7202.5394766112,7261.66492035552
2023-03-15,7205.46492754384,48.4388130526377,48.4388130526377,48.4388130526377,48.4388130526377,48.4388130526377,48.4388130526377,0,0,0,7091.92069364897,7398.1350897393,7205.46492754384,7205.46492754384,7253.90374059648
2023-03-16,7208.39037847648,54.6041802059098,54.6041802059098,54.6041802059098,54.6041802059098,54.6041802059098,54.6041802059098,0,0,0,7116.46050037855,7417.50070063332,7208.39037847648,7208.39037847648,7262.99455868239
2023-03-17,7211.31582940912,62.1031021947907,62.1031021947907,62.1031021947907,62.1031021947907,62.1031021947907,62.1031021947907,0,0,0,7118.08509108357,7419.16003070499,7211.31582940912,7211.31582940912,7273.41893160391
2023-03-20,7220.09218220704,63.5929803805564,63.5929803805564,63.5929803805564,63.5929803805564,63.5929803805564,63.5929803805564,0,0,0,7142.69003133972,7432.62035301756,7220.09218220704,7220.09218220704,7283.6851625876
2023-03-21,7223.01763313968,59.1254437442569,59.1254437442569,59.1254437442569,59.1254437442569,59.1254437442569,59.1254437442569,0,0,0,7141.47260474739,7424.50100217341,7223.01763313968,7223.01763313968,7282.14307688394
2023-03-22,7225.94308407232,48.4388130526488,48.4388130526488,48.4388130526488,48.4388130526488,48.4388130526488,48.4388130526488,0,0,0,7117.10178218397,7443.18818723136,7225.94308407232,7225.94308407232,7274.38189712497
