"Date","Ouverture","DayOfYear","Year"
2023-07-25,7449.94,206,"2023"
2023-07-26,7363.54,207,"2023"
2023-07-27,7358.66,208,"2023"
2023-07-28,7449.2,209,"2023"
2023-07-31,7473.12,212,"2023"
2023-08-01,7478.1,213,"2023"
2023-08-02,7312.91,214,"2023"
2023-08-03,7256.06,215,"2023"
2023-08-04,7286.98,216,"2023"
2023-08-07,7290.37,219,"2023"
2023-08-08,7271.05,220,"2023"
2023-08-09,7351.02,221,"2023"
2023-08-10,7373.55,222,"2023"
2023-08-11,7391.25,223,"2023"
2023-08-14,7326.78,226,"2023"
2023-08-15,7355.08,227,"2023"
2023-08-16,7246.73,228,"2023"
2023-08-17,7229.06,229,"2023"
2023-08-18,7163.21,230,"2023"
2023-08-21,7165.07,233,"2023"
2023-08-22,7227.1,234,"2023"
2023-08-23,7265.98,235,"2023"
2023-08-24,7309.61,236,"2023"
2023-08-25,7199.59,237,"2023"
2023-08-28,7294.34,240,"2023"
2023-08-29,7345.57,241,"2023"
2023-08-30,7396.14,242,"2023"
2023-08-31,7372.65,243,"2023"
2023-09-01,7310.68,244,"2023"
2023-09-04,7332.2,247,"2023"
2023-09-05,7241.2,248,"2023"
2023-09-06,7217.44,249,"2023"
2023-09-07,7165.98,250,"2023"
2023-09-08,7219.91,251,"2023"
2023-09-11,7275.37,254,"2023"
2023-09-12,7290.62,255,"2023"
2023-09-13,7224.62,256,"2023"
2023-09-14,7216.08,257,"2023"
2023-09-15,7381.32,258,"2023"
2023-09-18,7353.55,261,"2023"
2023-09-19,7250.05,262,"2023"
2023-09-20,7278.92,263,"2023"
2023-09-21,7252.41,264,"2023"
2023-09-22,7157.39,265,"2023"
2023-09-25,7157.23,268,"2023"
2023-09-26,7083.86,269,"2023"
2023-09-27,7070.39,270,"2023"
2023-09-28,7068.03,271,"2023"
2023-09-29,7152.3,272,"2023"
2023-10-02,7164.05,275,"2023"
2023-10-03,7031.59,276,"2023"
2023-10-04,6959.52,277,"2023"
2023-10-05,7009.82,278,"2023"
2023-10-06,7022.07,279,"2023"
2023-10-09,7041.38,282,"2023"
2023-10-10,7086.72,283,"2023"
2023-10-11,7090.18,284,"2023"
2023-10-12,7175.77,285,"2023"
2023-10-13,7097.15,286,"2023"
2023-10-16,7029.75,289,"2023"
2023-10-17,7016.25,290,"2023"
2023-10-18,7021.13,291,"2023"
2023-10-19,6918.08,292,"2023"
2023-10-20,6850.13,293,"2023"
2023-10-23,6820.25,296,"2023"
2023-10-24,6865.1,297,"2023"
2023-10-25,6859.69,298,"2023"
2023-10-26,6835.53,299,"2023"
2023-10-27,6898.98,300,"2023"
2023-10-30,6826.95,303,"2023"
2023-10-31,6840.73,304,"2023"
2023-11-01,6914.32,305,"2023"
2023-11-02,6991.45,306,"2023"
2023-11-03,7084.51,307,"2023"
2023-11-06,7066.18,310,"2023"
2023-11-07,6970.66,311,"2023"
2023-11-08,6951.48,312,"2023"
2023-11-09,7043.88,313,"2023"
2023-11-10,7079.4,314,"2023"
2023-11-13,7069.88,317,"2023"
2023-11-14,7098.72,318,"2023"
2023-11-15,7214.69,319,"2023"
2023-11-16,7203.96,320,"2023"
2023-11-17,7196.69,321,"2023"
2023-11-20,7242.4,324,"2023"
2023-11-21,7231.04,325,"2023"
2023-11-22,7252.01,326,"2023"
2023-11-23,7274.25,327,"2023"
2023-11-24,7275,328,"2023"
2023-11-27,7292.91,331,"2023"
2023-11-28,7230.74,332,"2023"
2023-11-29,7241.41,333,"2023"
2023-11-30,7276.87,334,"2023"
2023-12-01,7336.55,335,"2023"
2023-12-04,7331.8,338,"2023"
2023-12-05,7320.49,339,"2023"
2023-12-06,7400.21,340,"2023"
2023-12-07,7424.82,341,"2023"
2023-12-08,7441,342,"2023"
2023-12-11,7534.23,345,"2023"
2023-12-12,7557.32,346,"2023"
2023-12-13,7542.1,347,"2023"
2023-12-14,7626.54,348,"2023"
2023-12-15,7607.92,349,"2023"
2023-12-18,7563.31,352,"2023"
2023-12-19,7560.57,353,"2023"
2023-12-20,7595.25,354,"2023"
2023-12-21,7557.16,355,"2023"
2023-12-22,7560.97,356,"2023"
2023-12-25,7577.24,359,"2023"
2023-12-26,7569.28666666667,360,"2023"
2023-12-27,7580.97,361,"2023"
2023-12-28,7591.85,362,"2023"
2023-12-29,7547.53,363,"2023"
2024-01-01,7540.05666666667,1,"2024"
2024-01-02,7577.33,2,"2024"
2024-01-03,7522.81,3,"2024"
2024-01-04,7419.85,4,"2024"
2024-01-05,7398.4,5,"2024"
2024-01-08,7406.24,8,"2024"
2024-01-09,7457.26,9,"2024"
2024-01-10,7428.26,10,"2024"
2024-01-11,7466.11,11,"2024"
2024-01-12,7412.68,12,"2024"
2024-01-15,7467.8,15,"2024"
2024-01-16,7364.11,16,"2024"
2024-01-17,7313.26,17,"2024"
2024-01-18,7346.71,18,"2024"
2024-01-19,7446.82,19,"2024"
2024-01-22,7436.61,22,"2024"
2024-01-23,7449.38,23,"2024"
2024-01-24,7414.76,24,"2024"
2024-01-25,7448.05,25,"2024"
2024-01-26,7555.05,26,"2024"
2024-01-29,7643.04,29,"2024"
2024-01-30,7660.65,30,"2024"
2024-01-31,7691.66,31,"2024"
2024-02-01,7590.15,32,"2024"
2024-02-02,7624.45,33,"2024"
2024-02-05,7591.77,36,"2024"
2024-02-06,7634.19,37,"2024"
2024-02-07,7632.84,38,"2024"
2024-02-08,7628.6,39,"2024"
2024-02-09,7652.45,40,"2024"
2024-02-12,7674.14,43,"2024"
2024-02-13,7689.05,44,"2024"
2024-02-14,7610.06,45,"2024"
2024-02-15,7724.49,46,"2024"
2024-02-16,7774.39,47,"2024"
2024-02-19,7742.87,50,"2024"
2024-02-20,7764.5,51,"2024"
2024-02-21,7802.04,52,"2024"
2024-02-22,7875.88,53,"2024"
2024-02-23,7921.95,54,"2024"
2024-02-26,7950.15,57,"2024"
2024-02-27,7926.68,58,"2024"
2024-02-28,7947.23,59,"2024"
2024-02-29,7972.86,60,"2024"
2024-03-01,7950.66,61,"2024"
2024-03-04,7934.35,64,"2024"
2024-03-05,7946.89,65,"2024"
2024-03-06,7925.79,66,"2024"
2024-03-07,7925.41,67,"2024"
2024-03-08,8018.1,68,"2024"
2024-03-11,7985.37,71,"2024"
2024-03-12,8052.16,72,"2024"
2024-03-13,8104.34,73,"2024"
2024-03-14,8158.27,74,"2024"
2024-03-15,8163.19,75,"2024"
