"Date","Predicted_CAC40"
2025-01-01,7282.43090496165
2025-01-02,7253.63970743147
2025-01-03,7391.14640740944
2025-01-04,7555.38100489558
2025-01-05,7526.27349988988
2025-01-06,7586.69389239235
2025-01-07,7732.96218240297
2025-01-08,7852.05836992176
2025-01-09,8000.16245494871
2025-01-10,8262.89443748382
2025-01-11,8458.56431752709
2025-01-12,8671.58209507852
2025-01-13,8928.47777013812
2025-01-14,9297.38134270588
2025-01-15,9503.1728127818
2025-01-16,9662.45218036588
2025-01-17,10003.5794454581
2025-01-18,10229.0146080585
2025-01-19,10488.4076681671
2025-01-20,10726.7486257838
2025-01-21,11096.1074809087
2025-01-22,11331.1842335418
2025-01-23,11624.848883683
2025-01-24,11992.0214313324
2025-01-25,12394.6218764899
2025-01-26,12759.5902191556
2025-01-27,13159.1331259961
2025-01-28,13563.2805970115
2025-01-29,14017.8326322017
2025-01-30,14414.0425649
